Disc,Education,Job_Name,jobs
"<p>Bartenders mix drinks and serve them directly to customers or through wait staff.</p>,<p>Bartenders typically do the following:</p>,<p>Bartenders fill drink orders either directly from customers at the bar or through <a href=""/ooh/food-preparation-and-serving/waiters-and-waitresses.htm"">waiters and waitresses</a> who place drink orders for dining room customers. Bartenders must know a wide range of drink recipes and be able to mix drinks correctly and quickly. When measuring and pouring beverages, they must avoid spillage or overpouring. They also must work well with waiters and waitresses and other kitchen staff to ensure that customers receive prompt service.</p>,<p>Some establishments, especially busy establishments with many customers, use equipment that automatically measures and pours drinks at the push of a button. Bartenders who use this equipment, however, still must become familiar with the ingredients for special drink requests and be able to work quickly to handle numerous drink orders.</p>,<p>In addition to mixing and serving drinks, bartenders stock and prepare garnishes for drinks and maintain an adequate supply of ice, glasses, and other bar supplies. They also wash glassware and utensils and serve food to customers who eat at the bar. Bartenders are usually responsible for ordering and maintaining an inventory of liquor, mixers, and other bar supplies.</p>",    No formal educational credential,    Bartenders,"<li>Greet customers, give them menus, and inform them about daily specials</li>,<li>Take drink orders from customers</li>,<li>Pour and serve wine, beer, and other drinks and beverages</li>,<li>Mix drinks according to recipes</li>,<li>Check the identification of customers to ensure that they are of legal drinking age</li>,<li>Clean bars, tables, and work areas</li>,<li>Collect payments from customers and return change</li>,<li>Manage the operation of the bar, and order and maintain liquor and bar supplies</li>,<li>Monitor the level of intoxication of customers</li>"
"<p>Teacher assistants work with a licensed teacher to give students additional attention and instruction.</p>,<p>Teacher assistants typically do the following:</p>,<p>Teacher assistants also are called <em>teacher aides</em>, <em>instructional aides</em>, <em>paraprofessionals</em>, <em>education assistants</em>, and <em>paraeducators</em>.</p>,<p>Teacher assistants work with or under the guidance of a licensed teacher. Reviewing with students individually or in small groups, teacher assistants help reinforce the lessons that teachers introduce.</p>,<p>Teacher assistants may provide feedback to teachers for monitoring student progress. Some teacher assistants meet regularly with teachers to discuss lesson plans and students’ development.</p>,<p>Some teacher assistants work only with special education students.  When special education students attend regular classes, these teacher assistants help them understand the material and adapt the information to their learning style. Teacher assistants may also work with students who have severe disabilities in separate classrooms. They help these students with basic needs, such as eating or personal hygiene. Teacher assistants may help young adults with disabilities to learn skills necessary for finding a job or living independently after graduation.</p>,<p>Some teacher assistants help in specific areas. For example, they may work in a computer laboratory, helping students use programs or software. Others may work as cafeteria attendants, supervising students during lunchtime.</p>,<p>Teacher assistants in childcare centers work with a lead teacher to provide individualized attention that young children need. They help with educational activities, supervise the children at play, and help with feeding and other basic care.</p>","    Some college, no degree",    Teacher Assistants,"<li>Reinforce lessons by reviewing material with students one-on-one or in small groups</li>,<li>Follow school and class rules to teach students proper behavior</li>,<li>Help teachers with recordkeeping, such as taking attendance and calculating grades</li>,<li>Get equipment or materials ready to help teachers prepare for lessons</li>,<li>Supervise students outside of the classroom, such as between classes, during lunch and recess, and on field trips</li>"
"<p>Material recording clerks track product information in order to keep businesses and supply chains on schedule. They ensure proper scheduling, recordkeeping, and inventory control.</p>,<p>Material recording clerks typically do the following:</p>,<p>Material recording clerks use computers, tablets, or hand-held devices to keep track of inventory. Sensors and tags enable these computers to automatically detect when and where products are moved, allowing clerks to keep updated reports without manually counting items.</p>,<p>The following are examples of types of material recording clerks:</p>,<p><strong><em>Production, planning, and expediting clerks</em></strong> manage the flow of information, work, and materials within or among offices in a business. They compile reports on the progress of work and on any production problems that arise. These clerks set workers’ schedules, estimate costs, keep track of materials, and write special orders for new materials. They perform general office tasks, such as entering data or distributing mail. Expediting clerks maintain contact with vendors to ensure that supplies and equipment are shipped on time.</p>,<p><strong><em>Shipping, receiving, and traffic clerks</em></strong> keep track of and record outgoing and incoming shipments. Clerks may scan barcodes with handheld devices or use radio frequency identification (RFID) scanners to keep track of inventory. They check to see whether shipment orders were correctly processed in their company’s computer system. They also compute freight costs and prepare invoices. Some clerks move goods from the warehouse to the loading dock.</p>,<p><strong><em>Stock clerks and order fillers</em></strong> receive, unpack, and track merchandise. Stock clerks move products from a warehouse to store shelves. They keep a record of items that enter or leave the stockroom and inspect for damaged goods. These clerks also use handheld RFID scanners to keep track of merchandise. Order fillers retrieve customer orders and prepare them to be shipped.</p>,<p><strong><em>Material and product inspecting clerks</em></strong> weigh, measure, check, sample, and keep records on materials, supplies, and equipment that enters a warehouse. They verify the quantity and quality of items they are assigned to examine, checking for defects and recording what they find. They use scales, counting devices, and calculators. Some decide what to do about a defective product, such as to scrap it or send it back to the factory to be repaired. Some clerks also prepare reports, such as reports about warehouse inventory levels.</p>",    High school diploma or equivalent,    Material Recording Clerks,"<li>Keep records of items shipped, received, or transferred to another location</li>,<li>Compile reports on various aspects of changes in production or inventory</li>,<li>Find, sort, or move goods between different parts of the business</li>,<li>Check inventory records for accuracy</li>"
"<p>Psychiatric technicians and aides care for people who have mental illness and developmental disabilities. Technicians typically provide therapeutic care and monitor their patients’ conditions. Aides help patients in their daily activities and ensure a safe and clean environment.</p>,<p>Psychiatric technicians, sometimes called mental health technicians, typically do the following:</p>,<p>Psychiatric aides typically do the following:</p>,<p>Many psychiatric technicians and aides work with patients who are severely developmentally disabled and need intensive care. Others work with patients undergoing rehabilitation for drug and alcohol addiction. The work of psychiatric technicians and aides varies with the types of patients they work with.</p>,<p>Psychiatric technicians and aides work as part of a medical team under the direction of <a href=""/ooh/healthcare/physicians-and-surgeons.htm""><u>physicians</u></a> and with other team members, who may include psychiatrists, <a href=""/ooh/life-physical-and-social-science/psychologists.htm""> </a><a href=""/ooh/healthcare/physicians-and-surgeons.htm""><u>psychologists</u></a>, psychiatric nurses, <a href=""/ooh/community-and-social-service/social-workers.htm""><u>social workers</u></a>, counselors, and therapists. For more information on the counselors and therapists they may work with, see the profiles on <a href=""/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm"">substance abuse, behavioral disorder, and mental health counselors</a>, <a href=""/ooh/community-and-social-service/rehabilitation-counselors.htm""><u>rehabilitation counselors</u></a>, and <a href=""/ooh/community-and-social-service/marriage-and-family-therapists.htm""><u>marriage and family therapists</u></a>.</p>,<p>Because they have such close contact with patients, psychiatric technicians and aides can have a great deal of influence on patients’ outlook and treatment.</p>",    ,    Psychiatric Technicians and Aides,"<li>Observe patients’ behavior, listen to their concerns, and record their condition</li>,<li>Lead patients in therapeutic and recreational activities</li>,<li>Give medications and other treatments to patients, following instructions from doctors and other medical professionals</li>,<li>Help with admitting and discharging patients</li>,<li>Monitor patients’ vital signs, such as their blood pressure</li>,<li>Help patients with activities of daily living, including eating and bathing</li>,<li>Restrain patients who may become physically violent</li>,<li>Monitor patients’ behavior and location in a mental healthcare facility</li>,<li>Help patients with their daily living activities, such as bathing and dressing</li>,<li>Serve meals and help patients eat</li>,<li>Keep facilities clean by doing tasks such as changing bed linens</li>,<li>Participate in group activities, such as playing sports and going on field trips</li>,<li>Help transport patients within a hospital or residential care facility</li>,<li>Restrain patients who may become physically violent</li>"
"<p>Compensation, benefits, and job analysis specialists conduct an organization’s compensation and benefits programs. They also evaluate position descriptions to determine details such as classification and salary.</p>,<p>Compensation, benefits, and job analysis specialists typically do the following:</p>,<p>Some specialists perform tasks within all areas of compensation, benefits, and job analysis. Others specialize in a specific area.</p>,<p><strong><em>Compensation specialists</em></strong> assess the organization’s pay structure. They research compensation trends and review surveys to determine how their organization’s pay compares with that of other organizations in a particular industry and region. They often perform complex data or cost analyses to evaluate compensation policies. They also ensure that the organization’s pay practices comply with federal and state laws and regulations, such as workers’ compensation, minimum wage, overtime, and equal pay laws.</p>,<p><strong><em>Benefits specialists</em></strong> administer the organization’s benefits programs, which include retirement plans, leave policies, wellness programs, and insurance policies, such as health, life, and disability insurance. They research and analyze benefits plans, policies, and programs, and make recommendations based on their analysis. They frequently monitor government regulations, legislation, and benefits trends to ensure that their programs are current, legal, and competitive. They also work closely with <a href=""/ooh/sales/insurance-sales-agents.htm""><span style=""text-decoration: underline;"">insurance brokers</span></a> and benefits carriers and manage the enrollment, renewal, and delivery of benefits to the organization’s employees.</p>,<p><strong><em>Job analysis specialists</em></strong>, also known as <strong><em>position classifiers</em></strong>, evaluate positions by writing or assigning job descriptions, determining position classifications, and preparing salary scales. When an organization introduces a new job or reviews existing jobs, specialists must research and make recommendations to managers on the status, description, classification, and salary of those jobs.</p>",    Bachelor's degree,"    Compensation, Benefits, and Job Analysis Specialists","<li>Research compensation and benefits policies and plans</li>,<li>Use data and cost analyses to compare compensation and benefits plans</li>,<li>Evaluate position descriptions to determine classification and salary</li>,<li>Ensure that the company complies with federal and state laws</li>,<li>Design and prepare reports summarizing research and analysis</li>,<li>Present recommendations to other human resources managers</li>"
"<p>Compensation and benefits managers plan, develop, and oversee programs to compensate employees.</p>,<p>Compensation and benefits managers typically do the following:</p>,<p>Although some managers administer both the compensation and benefits programs in an organization, other managers—particularly at large organizations—specialize and oversee one or the other. All managers, however, routinely meet with senior staff, managers of other human resources departments, and the financial officers of their organization. They provide expertise and make recommendations on compensation and benefits policies, programs, and plans.</p>,<p>Compensation and benefits managers may perform data analysis to determine the best pay and benefits plans for an organization. They may also monitor trends affecting pay and benefits and assess how their organization can improve practices or policies. Using a variety of analytical, database, and presentation software, managers draw conclusions, present their findings, and make recommendations to other managers in the organization.</p>,<p><strong><em>Compensation managers</em></strong> are responsible for managing an organization’s pay structure. They monitor market conditions and government regulations to ensure their organization’s pay rates are current and competitive. They analyze data on wages and salaries, and they evaluate how their organization’s pay structure compares with that of other companies. Compensation managers use this information to maintain or develop pay scales for an organization.</p>,<p>Some also design pay-for-performance plans, which include guidelines for bonuses and incentive pay. They also may help determine commission rates and other incentives for sales staff.</p>,<p><strong><em>Benefits managers</em></strong> administer a company’s employee benefits program, which may include retirement plans, leave policies, wellness programs, and insurance policies such as health, life, and disability. They select benefits vendors and manage enrollment, renewal, and delivery of benefits to the organization’s employees. They frequently monitor government regulations and market trends to ensure that their programs are current, competitive, and legal.</p>",    Bachelor's degree,    Compensation and Benefits Managers,"<li>Coordinate and supervise the work activities of specialists and support staff</li>,<li>Set the organization’s pay and benefits structure</li>,<li>Determine competitive wage rates to develop or modify compensation plans</li>,<li>Choose and manage outside partners, such as benefits vendors, insurance brokers, and investment managers</li>,<li>Oversee the distribution of pay and benefits information to the organization’s employees</li>,<li>Ensure that pay and benefits plans comply with federal and state regulations</li>,<li>Prepare a program budget and keep operations within that budget</li>"
"<p>Biomedical engineers combine engineering principles with medical and biological sciences to design and create equipment, devices, computer systems, and software used in healthcare.</p>,<p>Biomedical engineers typically do the following:</p>,<p>Biomedical engineers design instruments, devices, and software used in healthcare; develop new procedures using knowledge from many technical sources; or conduct research needed to solve clinical problems. They frequently work in research and development or quality assurance.</p>,<p>Biomedical engineers design electrical circuits, software to run medical equipment, or computer simulations to test new drug therapies. In addition, they design and build artificial body parts, such as hip and knee joints. In some cases, they develop the materials needed to make the replacement body parts. They also design rehabilitative exercise equipment.</p>,<p>The work of these engineers spans many professional fields. For example, although their expertise is based in engineering and biology, they often design computer software to run complicated instruments, such as three-dimensional x-ray machines. Alternatively, many of these engineers use their knowledge of chemistry and biology to develop new drug therapies. Others draw heavily on math and statistics to build models to understand the signals transmitted by the brain or heart. Some may be involved in sales.</p>,<p>The following are examples of specialty areas within the field of biomedical engineering:</p>,<p><strong><em>Bioinstrumentation</em></strong> uses electronics, computer science, and measurement principles to develop instruments used in the diagnosis and treatment of medical problems.</p>,<p><strong><em>Biomaterials </em></strong>is the study of naturally occurring or laboratory-designed materials that are used in medical devices or as implantation materials.</p>,<p><strong><em>Biomechanics</em></strong> involves the study of mechanics, such as thermodynamics, to solve biological or medical problems.</p>,<p><strong><em>Clinical engineering</em></strong> applies medical technology to optimize healthcare delivery.</p>,<p><strong><em>Rehabilitation engineering</em></strong> is the study of engineering and computer science to develop devices that assist individuals recovering from or adapting to physical and cognitive impairments.</p>,<p><strong><em>Systems physiology </em></strong>uses engineering tools to understand how systems within living organisms, from bacteria to humans, function and respond to changes in their environment.</p>,<p>Some people with training in biomedical engineering become <u><a href=""/ooh/education-training-and-library/postsecondary-teachers.htm"">postsecondary teachers</a></u>.</p>",    Bachelor's degree,    Biomedical Engineers,"<li>Design biomedical equipment and devices, such as artificial internal organs, replacements for body parts, and machines for diagnosing medical problems</li>,<li>Install, adjust, maintain, repair, or provide technical support for biomedical equipment</li>,<li>Evaluate the safety, efficiency, and effectiveness of biomedical equipment</li>,<li>Train clinicians and other personnel on the proper use of biomedical equipment</li>,<li>Research the engineering aspects of the biological systems of humans and animals with life scientists, chemists, and medical scientists</li>,<li>Prepare procedures, write technical reports, publish research papers, and make recommendations based on their research findings</li>,<li>Present research findings to scientists, nonscientist executives, clinicians, hospital management, engineers, other colleagues, and the public</li>"
"<p>Biochemists and biophysicists study the chemical and physical principles of living things and of biological processes, such as cell development, growth, heredity, and disease.</p>,<p>Biochemists and biophysicists typically do the following:</p>,<p>Biochemists and biophysicists use advanced technologies, such as lasers and fluorescent microscopes, to conduct scientific experiments and analyses. They also use x rays and computer modeling software to determine the three-dimensional structures of proteins and other molecules. Biochemists and biophysicists involved in biotechnology research use chemical enzymes to synthesize recombinant DNA.</p>,<p>Biochemists and biophysicists work in basic and applied research. Basic research is conducted without any immediately known application; the goal is to expand human knowledge. Applied research is directed toward solving a particular problem.</p>,<p>Biochemists, sometimes called <em>molecular biologists</em> or <em>cellular biologists</em>, may study the molecular mechanisms by which cells feed, divide, and grow. Others study the evolution of plants and animals, to understand how genetic traits are carried through successive generations.</p>,<p>Biophysicists may conduct basic research to learn how nerve cells communicate or how proteins work. Biochemists and biophysicists who conduct basic research typically must submit written grant proposals to colleges and universities, private foundations, and the federal government to get the money they need for their research.</p>,<p>Biochemists and biophysicists who conduct applied research attempt to develop products and processes that improve people’s lives. For example, in medicine, biochemists and biophysicists develop tests used to detect infections, genetic disorders, and other diseases. They also develop new drugs and medications, such as those used to treat cancer or Alzheimer’s disease.</p>,<p>Applied research in biochemistry and biophysics has many uses outside of medicine. In agriculture, biochemists and biophysicists research ways to genetically engineer crops so that they will be resistant to drought, disease, insects, and other afflictions. Biochemists and biophysicists also investigate alternative fuels, such as biofuels—renewable energy sources from plants. In addition, they develop ways to protect the environment and clean up pollution.</p>,<p>Many people with a biochemistry background become professors and teachers. For more information, see the profile on <u><a href=""/ooh/education-training-and-library/postsecondary-teachers.htm"">postsecondary teachers</a></u>.</p>",    Doctoral or professional degree,    Biochemists and Biophysicists,"<li>Plan and conduct complex projects in basic and applied research</li>,<li>Manage laboratory teams and monitor the quality of their work</li>,<li>Isolate, analyze, and synthesize proteins, fats, DNA, and other molecules</li>,<li>Research the effects of substances such as drugs, hormones, and nutrients on tissues and biological processes</li>,<li>Review literature and the findings of other researchers and attend conferences</li>,<li>Prepare technical reports, research papers, and recommendations based on their research findings</li>,<li>Present research findings to scientists, engineers, and other colleagues</li>,<li>Secure funding and write grant applications</li>"
"<p>Diesel service technicians and mechanics (also known as <em>diesel technicians</em>) inspect, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engine.</p>,<p>Diesel service technicians and mechanics typically do the following:</p>,<p>Because of their efficiency and durability, diesel engines have become the standard in powering trucks and buses. Other heavy vehicles and mobile equipment, including bulldozers and cranes, also are powered by diesel engines, as are many commercial boats and some passenger vehicles and pickups.</p>,<p>Diesel technicians make major and minor engine repairs, and work on a vehicle’s electrical and exhaust systems to comply with pollution regulations.</p>,<p>Diesel engine maintenance and repair is becoming more complex as engines and other components use more electronic systems to control their operation. For example, fuel injection and engine timing systems rely on microprocessors to maximize fuel efficiency and minimize harmful emissions. In most shops, workers often use hand-held or laptop computers to diagnose problems and adjust engine functions.</p>,<p>Diesel technicians also use a variety of power and machine tools, such as pneumatic wrenches, lathes, grinding machines, and welding equipment. Hand tools, including pliers, sockets and ratchets, and screwdrivers, are commonly used.</p>,<p>Employers typically provide expensive power tools and computerized equipment, but workers generally acquire their own hand tools over time.</p>,<p>Technicians and mechanics who work primarily on automobiles are described in the profile on <a href=""/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm"">automotive service technicians and mechanics</a>.</p>,<p>Technicians and mechanics who work primarily on farm equipment, construction vehicles, and railcars, are described in the profile on <a href=""/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm"">heavy vehicle and mobile equipment service technicians</a>.</p>,<p>Technicians and mechanics who work primarily on motorboats, motorcycles, and small all-terrain vehicles are described in the <a href=""/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm"">small engine mechanics</a> profile.</p>",    High school diploma or equivalent,    Diesel Service Technicians and Mechanics,"<li>Consult with customers,  read work orders, and determine work required</li>,<li>Plan work procedures, using technical charts and manuals</li>,<li>Inspect brake systems, steering mechanisms, transmissions, engines, and other parts of vehicles</li>,<li>Follow checklists to ensure that all critical parts are examined</li>,<li>Read and interpret diagnostic test results to identify mechanical problems</li>,<li>Repair or replace malfunctioning components, parts, and other mechanical or electrical equipment</li>,<li>Perform basic care and maintenance, including changing oil, checking fluid levels, and rotating tires</li>,<li>Test-drive vehicles to ensure that they run smoothly</li>"
"<p>Geographers study the Earth and the distribution of its land, features, and inhabitants. They also examine political or cultural structures and study the physical and human geographic characteristics of regions ranging in scale from local to global.</p>,<p>Geographers typically do the following:</p>,<p>Geographers use several technologies in their work, such as GIS, remote sensing, and global positioning systems (GPS). Geographers use GIS to find relationships and trends in geographic data. These systems allow geographers to present data visually as maps, reports, and charts. For example, geographers can overlay aerial or satellite images with GIS data, such as population density in a given region, and create digital maps. They then use the maps to inform governments, businesses, and the general public on a variety of issues, such as developing marketing strategies; planning homes, roads, and landfills; and responding to disasters.</p>,<p>The following are examples of types of geographers:</p>,<p><strong><em>Physical geographers</em></strong> examine the physical aspects of a region and how they relate to humans. They study features of the natural environment, such as landforms, climates, soils, natural hazards, water, and plants. For example, physical geographers may map where a natural resource occurs in a country or study the implications of proposed economic development on the surrounding natural environment.</p>,<p><strong><em>Human geographers</em></strong> analyze the organization of human activity and its relationships with the physical environment. Human geographers often combine issues from other disciplines into their research, which may include economic, environmental, medical, cultural, social, or political topics. In their research, some human geographers rely primarily on statistical techniques or quantitative methods, and others rely on nonstatistical sources or qualitative methods, such as field observations and interviews.</p>,<p>Geographers often work on projects with people in related fields. For example, geographers may work with <a href=""/ooh/life-physical-and-social-science/urban-and-regional-planners.htm""><u>urban planners</u></a>, <a href=""/ooh/architecture-and-engineering/civil-engineers.htm""><u>civil engineers</u></a>, legislators, or real estate professionals to determine the best location for new public transportation infrastructure.</p>,<p>Some people with a geography degree become <a href=""/ooh/education-training-and-library/postsecondary-teachers.htm""><u>postsecondary teachers</u></a>.</p>,<p>Many people who study geography and who use GIS in their work are employed as <a href=""/ooh/architecture-and-engineering/surveyors.htm""><u>surveyors</u></a>, <a href=""/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm""><u>cartographers and photogrammetrists</u></a>, <a href=""/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm""><u>surveying and mapping technicians</u></a>, <a href=""/ooh/life-physical-and-social-science/urban-and-regional-planners.htm""><u>urban and regional planners</u></a>, or <a href=""/ooh/life-physical-and-social-science/geoscientists.htm""><u>geoscientists</u></a>.</p>",    Bachelor's degree,    Geographers,"<li>Gather geographic data through field observations, maps, photographs, satellite imagery, and censuses</li>,<li>Conduct research via surveys, interviews, and focus groups</li>,<li>Create and modify maps or other visual representations of geographic data</li>,<li>Analyze the geographic distribution of physical and cultural characteristics and occurrences</li>,<li>Collect, analyze, and display geographic data with Geographic Information Systems (GIS)</li>,<li>Write reports and present research findings</li>,<li>Assist, advise, or lead others in using GIS and geographic data</li>,<li>Link geographic data with data pertaining to a particular specialty, such as economics, the environment, health, or politics</li>"
"<p>Medical equipment repairers install, maintain, and repair patient care equipment.</p>,<p>Medical equipment repairers typically do the following:</p>,<p>Medical equipment repairers, also known as <em>biomedical equipment technicians</em> (BMETs), repair a wide range of electronic, electromechanical, and hydraulic equipment used in hospitals and health practitioners’ offices. They may work on patient monitors, defibrillators, ventilators, anesthesia machines, and other life-supporting equipment. They also may work on medical imaging equipment (x rays, CAT scanners, and ultrasound equipment), voice-controlled operating tables, and electric wheelchairs. In addition, they repair medical equipment that dentists and eye doctors use.</p>,<p>If a machine has problems or is not functioning to its potential, repairers first diagnose the problem. They then adjust the mechanical, electronic, or hydraulic parts or modify the software in order to recalibrate the equipment and fix the issue.</p>,<p>Medical equipment repairers use a variety of tools. Most use hand tools, such as screwdrivers, wrenches, and soldering irons. Others use electronic tools, such as multimeters (an electronic measuring device that combines several measures) and computers. Much of the equipment that they maintain and repair uses specialized test-equipment software. Repairers use this software to calibrate the machines.</p>,<p>Many doctors, particularly specialty practitioners, rely on complex medical devices to run tests and diagnose patients, and they must be confident that the readings are accurate. Therefore, medical equipment repairers sometimes perform routine scheduled maintenance to ensure that sophisticated equipment, such as x-ray machines and CAT scanners, are in good working order. For less complicated equipment, such as electric hospital beds, workers make repairs as needed.</p>,<p>In a hospital setting, medical equipment repairers must be comfortable working around patients because repairs occasionally must take place while equipment is being used. When this is the case, the repairer must take great care to ensure that their work activities do not disturb patients.</p>,<p>Although some medical equipment repairers are trained to fix a variety of equipment, others specialize in repairing one or a small number of machines.</p>",    Associate's degree,    Medical Equipment Repairers,"<li>Install medical equipment</li>,<li>Test and calibrate parts and equipment</li>,<li>Repair and replace parts</li>,<li>Perform preventive maintenance and service</li>,<li>Keep records of maintenance and repairs</li>,<li>Review technical manuals and regularly attend training sessions</li>,<li>Explain and demonstrate how to operate medical equipment</li>,<li>Manage replacement of medical equipment</li>"
"<p>Top executives devise strategies and policies to ensure that an organization meets its goals. They plan, direct, and coordinate operational activities of companies and organizations.</p>,<p>Top executives typically do the following:</p>,<p>The responsibilities of top executives largely depend on an organization’s size. For example, an owner or manager of a small organization, such as an independent retail store, often is responsible for purchasing, hiring, training, quality control, and day-to-day supervisory duties. In large organizations, however, top executives typically focus more on formulating policies and strategic planning, while general and operations managers direct day-to-day operations.</p>,<p>The following are examples of types of top executives:</p>,<p><strong><em>General and operations managers</em></strong> oversee operations that are too diverse and general to be classified into one area of management or administration. Responsibilities may include formulating policies, managing daily operations, and planning the use of materials and human resources. They make staff schedules, assign work, and ensure that projects are completed. In some organizations, the tasks of chief executive officers may overlap with those of general and operations managers.</p>,<p><strong><em>Chief executive officers (CEOs)</em></strong>, who are also known by titles such as <em>executive director</em>, <em>managing director</em>, or <em>president</em>,<strong><em> </em></strong>provide overall direction for companies and organizations. CEOs manage company operations, formulate and implement policies, and ensure goals are met. They collaborate with and direct the work of other top executives and typically report to a board of directors.</p>,<p>There may be other types of chief executives, for example <em>chief operating officers</em> (COOs), <em>chief financial officers</em> (CFOs), or <em>chief human resources officers</em>, who manage a specific part of the business organization. The knowledge, skills, and job duties that these executives have will differ depending on what department they oversee.</p>,<p>Job titles may vary in the public sector or in the education industry. The following are examples of types of top executives working in the public sector for local and state governments:</p>,<p><strong><em>Mayors</em></strong>, along with <strong><em>governors</em></strong>, <strong><em>city managers</em></strong>, and <strong><em>county administrators</em></strong>, are chief executive officers of governments. They typically oversee budgets, programs, and the use of resources. Mayors and governors must be elected to office, whereas managers and administrators are typically appointed.</p>,<p>Most educational systems, regardless of whether they are public or private school systems, also employ executive officers. The following are examples of top executives working in the elementary, secondary, and postsecondary educational school systems:</p>,<p><strong><em>School superintendents</em></strong> and <strong><em>college</em></strong> or<strong><em> university presidents</em></strong> are chief executive officers of school districts and postsecondary schools. They manage issues such as student achievement, budgets and resources, general operations, and relations with government agencies and other stakeholders.</p>",    Bachelor's degree,    Top Executives,"<li>Establish and carry out departmental or organizational goals, policies, and procedures</li>,<li>Direct and oversee an organization’s financial and budgetary activities</li>,<li>Manage general activities related to making products and providing services</li>,<li>Consult with other executives, staff, and board members about general operations</li>,<li>Negotiate or approve contracts and agreements</li>,<li>Appoint department heads and managers</li>,<li>Analyze financial statements, sales reports, and other performance indicators</li>,<li>Identify places to cut costs and to improve performance, policies, and programs</li>"
"<p>Massage therapists treat clients by using touch to manipulate the muscles and other soft tissues of the body. With their touch, therapists relieve pain, help heal injuries, improve circulation, relieve stress, increase relaxation, and aid in the general wellness of clients.</p>,<p>Massage therapists typically do the following:</p>,<p>Massage therapists use touch to treat clients’ injuries and to promote the clients’ general wellness. They use their hands, fingers, forearms, elbows, and sometimes feet to knead muscles and soft tissues of the body.</p>,<p>Massage therapists may use lotions and oils, and massage tables or chairs, when treating a client. A massage can be as short as 5–10 minutes or could last more than an hour.</p>,<p>Massage therapists talk with clients about what they hope to achieve through massage. They may suggest personalized treatment plans for their clients, including information about additional relaxation techniques to practice between sessions.</p>,<p>Massage therapists can specialize in many different types of massage or modalities. Swedish massage, deep-tissue massage, and sports massage are just a few of the many modalities of massage therapy. Most massage therapists specialize in several modalities, which require different techniques.</p>,<p>The type of massage given typically depends on the client’s needs and physical condition. For example, massage therapists may use a special technique for elderly clients that they would not use for athletes. Some forms of massage are given solely to one type of client; for example, prenatal massage is given only to pregnant women.</p>",    Postsecondary nondegree award,    Massage Therapists,"<li>Talk with clients about their symptoms, medical history, and desired results</li>,<li>Evaluate clients to locate painful or tense areas of the body</li>,<li>Manipulate muscles and other soft tissues of the body</li>,<li>Provide clients with guidance on stretching, strengthening, overall relaxation, and how to improve their posture</li>,<li>Document clients’ conditions and progress</li>"
"<p>Insulation workers, also called <em>insulators</em>, install and replace the materials used to insulate buildings and their mechanical systems.</p>,<p>Insulators typically do the following:</p>,<p>Insulated buildings save energy by keeping heat in during the winter and out in the summer. Insulated vats, vessels, boilers, steam pipes, and water pipes prevent the loss of heat or cold and prevent burns. In addition, insulation helps reduce noise that passes through walls and ceilings.</p>,<p>Insulators often must remove old insulation when renovating buildings. In the past, asbestos—now known to cause cancer—was used extensively to insulate walls, ceilings, pipes, and industrial equipment. Because of this danger, <a href=""/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm""><u>hazardous materials removal workers</u></a> or specially trained insulators are required to remove asbestos before workers can begin installation.</p>,<p>Insulators use common hand tools, such as knives and scissors. They also may use a variety of power tools, such as power saws to cut insulating materials, welders to secure clamps, staple guns to fasten insulation to walls, and air compressors to spray insulation.</p>,<p>Insulators sometimes wrap a cover of aluminum, sheet metal, or vapor barrier (plastic sheeting) over the insulation. Doing so protects the insulation from contact damage and keeps moisture out.</p>,<p><strong><em>Floor, ceiling, and wall insulators</em></strong> install insulation in attics, under floors, and behind walls in homes and other buildings. Most of these workers unroll, cut, fit, and staple batts of fiberglass insulation between wall studs and ceiling joists. Alternatively, some workers spray foam insulation with a compressor hose into the space being filled.</p>,<p><strong><em>Mechanical insulators</em></strong> apply insulation to equipment, pipes, or ductwork in businesses, factories, and many other types of buildings. When insulating a steam pipe, for example, they consider the diameter, thickness, and temperature of the pipe in determining the type of insulation to be used.</p>",    ,    Insulation Workers,"<li>Remove and dispose of old insulation</li>,<li>Review blueprints and specifications to determine the amount and type of insulation needed</li>,<li>Measure and cut insulation to fit into walls and around pipes</li>,<li>Secure insulation with staples, tape, or screws</li>,<li>Use air compressors to spray foam insulation</li>,<li>Install plastic barriers to protect insulation from moisture</li>"
